year,large IC,medium IC,residential
2010,,0.1155,0.2306
2011,,0.12455,0.2434
2012,,0.1287,0.25505
2013,,0.14345,0.2778
2014,,0.1553,0.28575
2015,,0.1501,0.28285
2016,,0.14985,0.28755
2017,,0.15165,0.2845
2018,0.0572,0.15075,0.279
2019,0.0572,0.15685,0.2778
2020,0.0572,0.15685,0.2778
